reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/02391/TPO,"Application to prune 2 Oak and 2 Silver Birch, within G1 of the Tree Preservation Order (No 33) 1987 Barnby Dun Common Wood

Consent sought to subtly tip prune the trees by up to 2m from the branch tips on the property side to reduce the encroachment to the garden. All cuts made to a suitable lateral point and ensuring that the trees are left balanced.",2023-12-20,local-authority:DNC,,,,
23/02397/FUL,Proposed Electrification works including GRP housings and chargers to provide a power connection to vehicles,2024-01-08,local-authority:DNC,,,,
23/02398/TPO,Application for consent for works to Horsechestnuts. This Group (G30) forms part of TPO DMBC/TPO/00103 - Doncaster Borough Council Tree Preservation Order (No.103) 1993 Hickleton.,2024-02-26,local-authority:DNC,,,,
23/02406/FUL,Erection of a two storey extension to school building to form 6 no. classrooms,2024-02-06,local-authority:DNC,,,,
23/02407/LBC,Listed building consent for the erection of a two storey extension to school building to form 6 no. classrooms,2024-02-06,local-authority:DNC,,,,
23/02408/LBC,"Listed building consent for structural works to windows and roof, and renewal of boarding to windows 
",2024-01-08,local-authority:DNC,,,,
23/02410/COU,Change of use from dwelling into two flats (retrospective).,2024-01-16,local-authority:DNC,,,,
23/02428/FUL,Erection of single storey rear extension.,2024-01-08,local-authority:DNC,,,,
23/02429/FUL,"Erection of first floor extensions to the side above the existing Utility and Dining Rooms, which are already constructed at ground floor level.",2023-12-19,local-authority:DNC,,,,
23/02431/ADV,"Display of externally illuminated wall-mounted display (width 6m, height 3m, depth 0.2m).",2024-01-18,local-authority:DNC,,,,
23/02433/FUL,"Erection of two storey rear extension, raising and replacement of roof and formation of rooms in roofspace including new dormer windows to the sides.",2024-06-05,local-authority:DNC,,,,
23/02437/FUL,"Erection of a single storey side extension & alterations to existing side/ rear conservatory.
",2024-01-22,local-authority:DNC,,,,
23/02438/FUL,"Erection of two storey side extension, single and two storey extension to the front and formation of rooms in roofspace and install dormer window to front and rear.",2024-01-30,local-authority:DNC,,,,
23/02440/FUL,Erection of part one and a half storey and part single storey side extension,2024-05-22,local-authority:DNC,,,,
23/02446/FUL,Demolition of 2 dilapidated barns (beyond reasonable repair) located within the designated Conservation Area,2024-05-13,local-authority:DNC,,,,
23/02447/FUL,Raising of the roof height to create a habitable space,2024-04-29,local-authority:DNC,,,,
23/02453/FUL,"Erection of two storey side extension, single storey rear extension, canopy to front and new side access drive with dropped kerb.",2024-01-22,local-authority:DNC,,,,
23/02456/FUL,Proposed addition of first floor accommodation to existing single storey dwelling,2024-03-04,local-authority:DNC,,,,
23/02457/TPO,"Application for consent to remove beech tree from rear garden. This Group (G8) forms part of TPO DMBC/TPO/00112 - Doncaster Borough Council Tree Preservation Order (No.112) 1993 St. Catherine's Hospital Site, Balby.",2024-01-30,local-authority:DNC,,,,
23/02460/ADV,"Display of non-illuminated external branding/advertisement signage to three elevations (being front, rear and end) of the Highfield ICON building.",2024-02-20,local-authority:DNC,,,,
23/02461/FUL,"Change of use and subdivision of the ground floor of a public house (Sui Generis) into a micropub (Sui Generis) and a restaurant with ancillary hot food takeaway (Class E use), with associated external alterations including to the shop front, new/alterations to doors and windows, erection of a rear single storey extension and creation of a new external access to existing first floor flat (AMENDED SCHEME)",2024-07-18,local-authority:DNC,,,,
23/02466/FUL,Siting of a Proposed Single Storey Modular Building to provide additional teaching facilities,2024-01-25,local-authority:DNC,,,,
23/02468/FUL,Erection of 3 Bay workshop at Fishlake Commercial Motors,2024-02-20,local-authority:DNC,,,,
23/02470/FUL,Installation of a roller shutter door & canopy over loading yard  (Retrospective),2024-01-22,local-authority:DNC,,,,
23/02471/FUL,Erection of a single storey rear extension including conversion of part of garage into bedroom,2024-01-16,local-authority:DNC,,,,
23/02472/FUL,"Erection of a 2 storey side/rear extension, a ground floor rear extension, a Porch extension to the front elevation and a first floor extension over Kitchen as an extension to Bedroom 1 (being resubmission of application 23/00922/FUL, granted on 15.06.2023).",2024-01-03,local-authority:DNC,,,,
23/02473/FUL,Erection of extension to front and rear and new raised roof (being resubmission of application 23/01089/FUL).,2024-01-23,local-authority:DNC,,,,
23/02476/FUL,Reduction in height of unauthorised wall to 1.3 - 1.5m (being resubmission of previously refused 23/00330/FUL).,2024-02-29,local-authority:DNC,,,,
23/02478/FUL,External alterations to shop frontages,2024-01-18,local-authority:DNC,,,,
23/02479/FUL,External alterations to shop frontage,2024-01-26,local-authority:DNC,,,,
23/02482/FULM,"Installation and operation of an Energy Storage System (ESS) including energy storage units and a Solar Farm with associated infrastructure including substation, site access, cable connection, acoustic fencing, security fencing, stock proof fencing, landscaping and other ancillary infrastructure",2024-10-14,local-authority:DNC,,,,
23/02484/LBC,"Listed Building Consent for replacement of slates
",2024-04-16,local-authority:DNC,,,,
23/02486/FUL,Demolition of existing garage and erection of a new garage.,2024-01-08,local-authority:DNC,,,,
23/02493/FUL,"External works to school gymnasium building including alterations to external elevations and roof, doors and windows. Associated with refurbishment works to the gymnasium building and conversion of associated storage to studio.",2024-03-05,local-authority:DNC,,,,
23/02494/LBC,Listed Building Consent for internal and external works associated with the refurbishment of the school gymnasium building including conversion of gymnasium store to studio.,2024-03-05,local-authority:DNC,,,,
23/02495/FUL,"Change of use from horse stables to self contained annex, and erection of wooden car port.",2024-07-03,local-authority:DNC,,,,
23/02496/FUL,Erection of a new front bay and porch and other alterations to windows.,2024-01-10,local-authority:DNC,,,,
23/02502/HAZ,Hazardous Substances Consent for modification of a  condition attached to the hazardous substance consent reference  98/51/3600/P/HAZ ( being under  The Planning (Hazardous Substances) Regulations 2015 (Regulation 5) & The Planning (Hazardous Substances) Act 1990 - Section 13),2024-01-05,local-authority:DNC,,,,
23/02506/FUL,Erection of a storage/office building (32.85 x 9.44m),2024-02-29,local-authority:DNC,,,,
23/02508/FUL,Change of use from retail/residential to 3 x self contained apartments including external alterations and installation of external staircase at the rear.,2024-02-02,local-authority:DNC,,,,
23/02509/FUL,Erection of two residential units and a ground floor retail unit,2024-04-10,local-authority:DNC,,,,
23/02510/FUL,Change of use of agricultural field to garden land including the erection of a 6.0m x 3.0m pergola and boundary fencing (part retrospective),2024-04-17,local-authority:DNC,,,,
23/02511/FUL,Erection of a garage store to the side of property,2024-01-29,local-authority:DNC,,,,
23/02513/FUL,Erection of a granny annexe to the side of the host dwelling.,2024-02-28,local-authority:DNC,,,,
23/02516/FUL,Demolition of dwelling and replacement with detached 4-bed dwelling and garage,2024-02-07,local-authority:DNC,,,,
23/02517/FUL,"Erection of a 2 storey side extension (which also projects forwards and rearwards of the existing dwelling house), following the demolition of the existing single storey side extension.",2024-01-10,local-authority:DNC,,,,
23/02518/TPO,"Application to fell 3 dead Hawthorn and 3 dead/dangerous Willow, deadwood 2 Ash and 4 Oak trees and undertake crown lift on various trees above footpaths within A11 of the Tree Preservation No 15 Rossington Order 1971
",2024-01-08,local-authority:DNC,,,,
23/02521/FUL,Installation of an external staircase and balustrade,2024-02-09,local-authority:DNC,,,,
23/02522/FUL,Conversion of existing dwelling to 4 no. 1 bed HMO units and alterations to outbuilding for use as bike and bin storage.,2024-10-17,local-authority:DNC,,,,
23/02523/FUL,"Conversion of existing barn buildings to form 6 no. residential dwellings with associated parking, bin storage, landscaping, access including the erection of a garage building and other associated works (revised scheme to approval 22/00150/FUL, part retrospective) (without compliance with condition 2 ( Plans ) of planning application 22/00150/FUL granted on 14/07/2022 - consent outlines the approved plans in accordance with which the development should be carried out)",2024-03-04,local-authority:DNC,,,,
23/02526/FUL,Conversion of a 6 bedroom house in multiple occupation (Class C4) to a 7 bedroom house in multiple occupation (Sui Generis) and conversion of outbuilding and erection of a single storey link extension to create additional living space.,2024-02-27,local-authority:DNC,,,,
23/02527/FUL,"Erection of a part two, part single storey side extension following demolition of the existing rear conservatory and free standing shed",2024-05-24,local-authority:DNC,,,,
23/02530/FUL,Erection of a single storey rear & side extension following the demolition of existing rear extension.,2024-01-22,local-authority:DNC,,,,
23/02532/FULM,"Erection of 14no apartments, associated landscaping & car parking",2024-12-12,local-authority:DNC,,,,
23/02533/ADV,"Display of  6 x fascia signs,1 internally illuminated and 6 x A0 aluminium poster frames.",2024-01-10,local-authority:DNC,,,,
23/02534/FUL,Erection of a side single storey extension to provide accessible wet room plus front porch extension and replacement of the existing garage flat roof with pitched tiled roof,2024-03-21,local-authority:DNC,,,,
23/02541/FUL,Erection of single storey rear extension.,2024-08-14,local-authority:DNC,,,,
23/02542/FUL,Demolition of existing conservatory and erection of a single storey rear extension,2024-01-24,local-authority:DNC,,,,
23/02543/FUL,Erection of an open Oak canopy Porch structure to the principal entrance/front elevation of a detached dwelling house.,2024-01-15,local-authority:DNC,,,,
