reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
11/02448/LBC,"Listed Building Consent for conversion of school to hotel, including alterations to external elevations, internal alterations, installation of new glazed roof, erection of screen wall, construction of new access road and alterations to existing access road, and Refurbishment of Lodge.",2024-01-16,local-authority:DNC,,,,
16/01651/REMM,"Details of access, appearance, landscaping, layout and scale for 191 dwellings, associated infrastructure and onsite open space (being matters reserved in outline application previously granted permission under reference 08/01077/OUTA on 11.07.2013)",2024-06-26,local-authority:DNC,,,,
17/02116/FUL,"Retrospective application for the erection of decking area to the rear, erection of conservatory and 2m high screen fence panels to the rear.",2024-02-14,local-authority:DNC,,,,
18/02113/FULM,"Erection of 22 residential dwellings and associated parking on approx 0.25ha of land, following demolition of existing commercial units. (Being variation of condition 8 (contaminated land) of planning application 13/00522/FULM granted on 08.10.2015 to allow for phased approach to development).",2024-02-23,local-authority:DNC,,,,
19/02202/3FUL,Refurbishment of existing building to create new education facility requiring internal and external alterations and the erection of a 2.4m palisade fence to the perimeter of the site.,2024-01-19,local-authority:DNC,,,,
19/02217/FULM,Continued use of retail warehouse without compliance with condition 1 of application reference 99/74/4259/P/WCC granted on 29.03.2000 (to allow for a change in the range of goods for sale to include food and drink up to a maximum floorspace of 400 square metres).,2024-08-16,local-authority:DNC,,,,
19/02443/FUL,"Erection of extension to both south and north sides, addition of pitched roof to former garage, insulation and rendering of existing bungalow facade and cladding of existing garage",2024-05-22,local-authority:DNC,,,,
20/01999/FUL,Erection of facilities building and 10 semen donor pens.,2024-11-14,local-authority:DNC,,,,
20/02844/FUL,"Restoration of Former Austerfield Quarry using inert waste materials (imported soils and rubble), and associated screening and crushing (PART RETROSPECTIVE)

",2024-08-08,local-authority:DNC,,,,
20/03415/FULM,"A hybrid planning application comprising:
a) An application for full planning permission for the construction of highway/drainage infrastructure and strategic landscape planting within the application site; and
b) An application for outline planning permission with all matters reserved (except access) for up to maximum floorspace of 42,689sqm GIA, comprising of;
13,572m2 of floorspace to be used within Class E(g) (offices);
12,143m2 of floor-space to be used within Class C3 (residential);
8,826m2 to be used within Class C1 (up to 3 hotels);
3,529m2 to be used within Classes E(a) (b) & Sui Generis (r) (retail / restaurant / cafe / hot food takeaway);
2,833m2 to be used within Classes E(a)/E(c )/E(b)/ SG (p)/SG (r)/ E(e) or E(f)/ (retail / financial and professional services / restaurant / cafe / drinking establishment / hot food takeaway and community facilities such as medical facilities or creche);
1,700m2 to be used within Class E(a) (food-retail) ;
919m2 to be used within Classes E(b) / SG(r) (restaurant / cafe / hot food takeaway);
473m2 to be used within Class E(a) / Sui Generis (retail / petrol filling station); and
314m2 to be used within Classes SG(q) (public house)
together with facilities for the storage of waste, car parking, landscaping, site re-profiling, drainage and utilities infrastructure.
",2024-12-20,local-authority:DNC,,,,
20/03486/FUL,Erection of conservatory to rear (RETROSPECTIVE).,2024-03-15,local-authority:DNC,,,,
21/00433/MIN,"Review of old mineral permissions (including an environmental impact assessment and proposed conditions) for the extraction of limestone and subsequent restoration to a mixture of woodland, grassland, agriculture and waterbodies with footpaths and bridleways(Being variation of conditions 1, 2 and 38 of 16/01220/REVA granted on 28.05.2018 to include proposals for a new restoration scheme and a new end date of 11th June 2035 for mineral extraction, processing and dispatch operations).",2024-07-26,local-authority:DNC,,,,
21/00450/FUL,Erection of walkout balcony to rear elevation (retrospective application).,2024-02-29,local-authority:DNC,,,,
21/00474/FULM,Retrospective application for the construction and operation of an asphalt recycling facility,2024-08-16,local-authority:DNC,,,,
21/00583/FUL,Erection of 2.6m high breeze block walls/horizontal timber fencing with vertical steel columns (RETROSPECTIVE).,2024-02-14,local-authority:DNC,,,,
21/00968/FULM,"Erection of residential development comprising of 60 dwellings, including associated works of landscaping, public open space and means of access and car parking",2024-07-26,local-authority:DNC,,,,
21/01364/FUL,Change of use of ground floor and first floor (second floor already C3 use) to C3 use including alterations to front elevation and the addition of one window to side elevation,2024-04-04,local-authority:DNC,,,,
21/01710/FULM,Erection of extension to existing building and alterations to form 19 no. apartments (AMENDED PLANS RECEIVED),2024-09-13,local-authority:DNC,,,,
21/01825/FULM,"Section 73 Application to vary or remove conditions 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15 and 17 (minor alterations relating to hard and soft landscaping layout, position of substation, open space layout and house plans and documents) of 19/02626/FULM (Erection of 156 dwellings & associated infrastructure & landscaping proposals) - granted on 09.03.2021.",2024-11-07,local-authority:DNC,,,,
21/01904/FUL,Erection of two storey detached dwelling house with detached garage and associated external works (AMENDED),2024-06-13,local-authority:DNC,,,,
21/02349/FUL,New access and road (RETROSPECTIVE),2024-10-10,local-authority:DNC,,,,
21/02368/FUL,"Erection of wall/railings to a height of 2.0m overall to the front of number 39, Somerton Drive and to the side boundary between numbers 37 and 39, Somerton Drive, Bessacarr with the installation of a 2.0m high electric sliding gate to the front driveway area (RETROSPECTIVE).",2024-07-15,local-authority:DNC,,,,
21/02436/COU,Change of use from private stables to Equestrian business (retrospective),2024-02-29,local-authority:DNC,,,,
21/02485/FULM,"Demolition of 5-9 Scot Lane for the proposed erection of 19 apartments, a small office space, and associated parking (AMENDED DESCRIPTION)",2024-01-22,local-authority:DNC,,,,
21/02821/FULM,"Erection of 22 dwelling houses with associated landscaping, amenity and parking following the demolition of the former NHS clinic (amended plans - including arboricultural method statement).",2024-05-02,local-authority:DNC,,,,
21/03036/COU,"Change of use from financial and professional services (Use Class A2) to restaurant  (Use Class A3 ) and associated alterations to shop front (Amended Description). (being a variation of condition 2 of 20/01871/COU granted 12/04/2021 - changes to the side elevations, graphic to be placed on window).",2024-02-26,local-authority:DNC,,,,
21/03196/REMM,"Details of Appearance, Landscaping, Layout, and Scale for the erection of 280 dwellings, access, associated infrastructure, parking and public open space (being matters reserved in outline application previously granted permission under ref: 14/00124/WCC on 16.11.2018) - amended application",2024-12-19,local-authority:DNC,,,,
21/03465/FUL,Barn conversion into a single dwelling with associated works including extension (amended plans),2024-04-30,local-authority:DNC,,,,
21/03631/REMM,"Details of appearance, landscaping, layout and scale for the erection of 241 dwellings (Phase 1 development) (being matters reserved in outline application previously granted permission under ref: 18/02592/3OUTM on 29.05.2019 (as subsequently varied under ref: 23/01709/OUTM).",2024-03-11,local-authority:DNC,,,,
21/03645/FULM,Residential development of 187 dwellings including associated access and infrastructure.,2024-06-14,local-authority:DNC,,,,
21/03661/FUL,Retrospective consent for erection of additional fence and proposed reduction in height of fence as built,2024-01-03,local-authority:DNC,,,,
22/00202/MIN,"Application to vary condition 4 of planning application 18/02858/MIN granted 24/05/2019 - to permit a larger volume of materials to be imported and blended, up to a maximum of 30,000 tonnes per annum).",2024-02-14,local-authority:DNC,,,,
22/00316/FUL,"Removal of Condition no3 and no10 to planning reference 05/02098/COU [Change of use from disused garden centre to Class B1 use (research and development)] and Removal of Condition no3, no4 and no14 to planning reference 05/03605/FUL [Erection of factory unit (30.65m x 22.40m) and variation of condition 5 previously granted permission under ref 89/1384/P on 15/09/89 (associated occupancy)].",2024-08-02,local-authority:DNC,,,,
22/00404/FULM,"Erection of 26 dwellings with associated landscaping and parking, and the conversion of Coltran Mill to form 60 apartments.",2024-06-24,local-authority:DNC,,,,
22/00566/FUL,"Proposed alterations and formation of additional first floor, to create mixed use of B2,B8, E(b),E(c), E(g) and Sui Generis (hot food takeaway)",2024-03-21,local-authority:DNC,,,,
22/00848/FULM,"Erection of 38 residential units and 56 retirement living homes, including landscaping and access.",2024-02-26,local-authority:DNC,,,,
22/01032/FULM,Erection of building with commercial units at ground floor level and office space on upper levels (Use Class E) with landscaping; creation of car park area and associated works.,2024-03-01,local-authority:DNC,,,,
22/01109/FUL,Demolition of a garage and partial demolition of stables. Conversion of two stables to two dwellings and associated works.,2024-03-19,local-authority:DNC,,,,
22/01282/FUL,Erection of a two storey side extension.,2024-03-20,local-authority:DNC,,,,
22/01327/FUL,Erection of a replacement dwelling,2024-02-07,local-authority:DNC,,,,
22/01413/OUTM,"Outline application for the erection of 14 dwellings with approval being sought for access, layout and scale (Being resubmission of application reference 21/01349/OUTM).",2024-02-29,local-authority:DNC,,,,
22/01560/FUL,Erection of two storey extensions to the side and rear and erection of a ground floor rear infill extension.,2024-01-03,local-authority:DNC,,,,
22/01626/FUL,Removal of existing outbuilding and erection of masonry building on the same footprint forming shop and cafe to be used in connection with existing recreational use,2024-01-11,local-authority:DNC,,,,
22/01638/FULM,Erection of 7 detached dwellings and 7 residential apartments and associated landscaping following demolition of existing commercial premises [AMENDED PLANS RECEIVED],2024-09-18,local-authority:DNC,,,,
22/01649/FUL,Erection Of Replacement Detached Dwelling (AMENDED PLANS),2024-01-04,local-authority:DNC,,,,
22/01677/FUL,Siting of 5 shepherds huts on existing paddock and conversion of existing stables to amenity block,2024-03-07,local-authority:DNC,,,,
22/01719/FUL,Conversion of hip to gable roofs with rear dormer windows and rooflights to the front elevations of both properties. Porch extension to No. 4.,2024-05-02,local-authority:DNC,,,,
22/01755/FUL,Change of use from a Care Home (Use Class C2) to form 9 self-contained residential flats with associated parking and external works (AMENDED PLANS),2024-03-21,local-authority:DNC,,,,
22/01817/FUL,Erection of a workshop/storage unit (Use Class B2/E(g)) and associated external works,2024-01-26,local-authority:DNC,,,,
22/01999/ADV,Display of flagpoles and tri-stack marketing new homes on site (retrospective),2024-04-04,local-authority:DNC,,,,
22/02004/FULM,"Change of use of land for siting of 20 holiday caravans located around existing fishing lake, including formation of associated parking spaces (being resubmission of application refused under ref 19/02140/FUL on 10.12.2021)",2024-01-02,local-authority:DNC,,,,
22/02214/REMM,"Details of Access, Appearance, Landscaping, Layout and Scale for the erection of 132 dwellings and associated infrastructure (being matters reserved in outline application 17/02958/FULM)",2024-02-29,local-authority:DNC,,,,
22/02252/FUL,"Erection of 2 detached dwellings and 2 detached garages. (being variation of condition 2 of application 20/02738/FUL granted on 20/08/2021 - alteration to no 73 side elevation to create a balcony) 
",2024-02-01,local-authority:DNC,,,,
22/02277/REMM,"Details of Appearance, Landscaping, Layout and Scale of design for the erection of 63 dwellings on approx 1.87 ha of land. (being matters reserved in outline under reference 19/01514/OUTM and granted consent on 16.12.2019)",2024-04-30,local-authority:DNC,,,,
22/02290/FUL,"Erection of a ground floor side infill extension, under the existing extension.
",2024-04-02,local-authority:DNC,,,,
22/02412/FUL,"Formation of a dropped kerb, the laying of tarmac areas either side of the pavement, the installation of a block paved area (4m wide by 7.5m long) and the creation of a 1:12 maximum slope from the pavement.",2024-02-08,local-authority:DNC,,,,
22/02434/OUT,Outline application for the erection of industrial units (all matters reserved),2024-07-15,local-authority:DNC,,,,
22/02511/FULA,"Application to vary condition 29 of planning permission 07/00445/FULA to extend the life of Marr Wind Farm by an additional 15 years to a total of 40 years and the removal of pre-commencement / compliance conditions 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 26, and 28.",2024-04-19,local-authority:DNC,,,,
22/02535/FUL,"Demolition of the existing two-storey existing office building and replacement with a three-storey office building, and erection of a weighbridge and single-storey sign-in building, with associated external works including additional car parking facilities and external landscaped welfare areas.",2024-04-12,local-authority:DNC,,,,
22/02589/FUL,Erection 2 single storey aluminium marquees to the side of the property (Retrospective),2024-08-15,local-authority:DNC,,,,
22/02676/FUL,"Erection of a detached dwelling and detached garage and ancillary store, with associated external works (retrospective)",2024-12-19,local-authority:DNC,,,,
22/02699/FUL,Conversion of two storey agricultural barn to dwelling with the addition of two single storey extensions (Amended plans),2024-04-25,local-authority:DNC,,,,
22/02773/FUL,Change of use from a cafe to two separate dwellings (Retrospective),2024-12-10,local-authority:DNC,,,,
23/00027/FUL,"Conversion of a disused barn to form a new dwelling, including extensions and external alterations to facilitate the conversion",2024-11-22,local-authority:DNC,,,,
23/00041/FUL,Erection of detached dwelling and garage (Retrospective),2024-02-29,local-authority:DNC,,,,
23/00106/OUT,Outline application for the erection of 2 detached dwellings each with a detached garage on approx 0.181 ha of land following demolition of outbuilding.(Approval being sought for access ),2024-11-01,local-authority:DNC,,,,
23/00113/FUL,Erection of ancillary storage unit and associated works,2024-01-05,local-authority:DNC,,,,
23/00173/FUL,Erection of a single-storey rear extension and enlargement of the porch,2024-04-16,local-authority:DNC,,,,
